elapsed_sec,step,loss,l1,dssim,ssim,ssim_weight,opacity_reg,size_reg,sigma_reg,sigma_mean,sigma_min,sigma_max,depth_min,depth_mean,depth_max,num_triangles,step_time_sec
27342.573711,1050,0.02440844,0.02390683,0.05459443,0.89081114,0.01562500,0.01739004,0.04242497,0.00482581,1.10169661,1.05994260,1.20634902,0.00101279,0.62572420,0.99942034,1291,25.10341978
27981.556124,1075,0.02483652,0.02427460,0.05571614,0.88856772,0.01718750,0.01678028,0.04243138,0.00499670,1.10062551,1.05852044,1.20715165,0.00101279,0.62572420,0.99942034,1291,25.64447975
28624.951911,1100,0.02547574,0.02485203,0.05699531,0.88600937,0.01875000,0.01626431,0.04245165,0.00516909,1.09955430,1.05713785,1.20720673,0.00101279,0.62572420,0.99942034,1291,25.57332134
29270.632109,1125,0.02632145,0.02563417,0.05845594,0.88308813,0.02031250,0.01580972,0.04239863,0.00534038,1.09850538,1.05581093,1.20719600,0.00101279,0.62572420,0.99942034,1291,25.64686704
29910.331773,1150,0.02712237,0.02636914,0.05987926,0.88024147,0.02187500,0.01540139,0.04240800,0.00551063,1.09747052,1.05453157,1.20717835,0.00101279,0.62572420,0.99942034,1291,24.76557755
30539.076785,1175,0.02813476,0.02730432,0.06189231,0.87621538,0.02343750,0.01498091,0.04236315,0.00567958,1.09645116,1.05325150,1.20715845,0.00101279,0.62572420,0.99942034,1291,24.60006690
31148.023907,1200,0.03015778,0.02921559,0.06612839,0.86774322,0.02500000,0.01455769,0.04224178,0.00584762,1.09408247,1.05196559,1.20713711,0.00101279,0.62081963,0.99942034,1260,24.96431994
31743.576963,1225,0.03215886,0.03111322,0.06974480,0.86051040,0.02656250,0.01456476,0.04317992,0.00612701,1.09333146,1.05076671,1.20897365,0.00101279,0.62081963,0.99942034,1260,23.63367152
32359.335434,1250,0.03403556,0.03288228,0.07320925,0.85358150,0.02812500,0.01414802,0.04303937,0.00628229,1.09245801,1.04949296,1.20957828,0.00101279,0.62081963,0.99942034,1260,24.59746742
32989.122231,1275,0.03564279,0.03438458,0.07613506,0.84772987,0.02968750,0.01380413,0.04298584,0.00644444,1.09154630,1.04826736,1.20971918,0.00101279,0.62081963,0.99942034,1260,24.64770341
33603.173455,1300,0.03737558,0.03600769,0.07919078,0.84161844,0.03125000,0.01347218,0.04286216,0.00660917,1.09063339,1.04709780,1.20969748,0.00101279,0.62081963,0.99942034,1260,24.68244886
34216.889093,1325,0.04033022,0.03879380,0.08506498,0.82987003,0.03281250,0.01319904,0.04265155,0.00677207,1.08973825,1.04595137,1.20965731,0.00101279,0.62081963,0.99942034,1260,23.94875193
34948.748667,1350,0.04388621,0.04214483,0.09228228,0.81543543,0.03437500,0.01297439,0.04241940,0.00693320,1.08886909,1.04490948,1.20961177,0.00101279,0.62081963,0.99942034,1260,26.13748026
